case_name,expected,predicted,outcome,stage,source_kind,brand,golden,candidate,report_path,ssim_score,num_hotspots,gate1_passed,gate2_passed
zara_narrow__aug_01_rotate,clean,FAULT,FP,Gate 2,augmented,zara_narrow,label_dataset\label_dataset\zara_narrow\golden.jpg,evaluation_results\augmented_goldens\zara_narrow\golden__01_rotate.png,evaluation_results\all_case_reports\FP_Gate2_zara_narrow__aug_01_rotate_report.png,0.385389,1,True,False
zara_narrow__aug_04_perspective,clean,FAULT,FP,Gate 2,augmented,zara_narrow,label_dataset\label_dataset\zara_narrow\golden.jpg,evaluation_results\augmented_goldens\zara_narrow\golden__04_perspective.png,evaluation_results\all_case_reports\FP_Gate2_zara_narrow__aug_04_perspective_report.png,0.423303,1,True,False
zara_narrow__aug_03_blur_noise,clean,FAULT,FP,Gate 2,augmented,zara_narrow,label_dataset\label_dataset\zara_narrow\golden.jpg,evaluation_results\augmented_goldens\zara_narrow\golden__03_blur_noise.png,evaluation_results\all_case_reports\FP_Gate2_zara_narrow__aug_03_blur_noise_report.png,0.649737,3,True,False
zara__aug_04_perspective,clean,FAULT,FP,Gate 2,augmented,zara,label_dataset\label_dataset\zara\golden.jpg,evaluation_results\augmented_goldens\zara\golden__04_perspective.png,evaluation_results\all_case_reports\FP_Gate2_zara__aug_04_perspective_report.png,0.678244,16,True,False
zara__aug_01_rotate,clean,FAULT,FP,Gate 2,augmented,zara,label_dataset\label_dataset\zara\golden.jpg,evaluation_results\augmented_goldens\zara\golden__01_rotate.png,evaluation_results\all_case_reports\FP_Gate2_zara__aug_01_rotate_report.png,0.777097,17,True,False
Primark_9,faulty,CLEAN,FN,PASS,faulty,Primark,label_dataset\label_dataset\Primark\golden.jpg,label_dataset\label_dataset\Primark\Primark_faulty\photo_9_2026-07-04_14-11-47.jpg,evaluation_results\all_case_reports\FN_PASS_Primark_9_report.png,0.812697,11,True,True
Primark_1,faulty,CLEAN,FN,PASS,faulty,Primark,label_dataset\label_dataset\Primark\golden.jpg,label_dataset\label_dataset\Primark\Primark_faulty\photo_1_2026-07-04_14-11-47.jpg,evaluation_results\all_case_reports\FN_PASS_Primark_1_report.png,0.874497,12,True,True
Primark_4,faulty,CLEAN,FN,PASS,faulty,Primark,label_dataset\label_dataset\Primark\golden.jpg,label_dataset\label_dataset\Primark\Primark_faulty\photo_4_2026-07-04_14-11-47.jpg,evaluation_results\all_case_reports\FN_PASS_Primark_4_report.png,0.879091,11,True,True
Primark_5,faulty,CLEAN,FN,PASS,faulty,Primark,label_dataset\label_dataset\Primark\golden.jpg,label_dataset\label_dataset\Primark\Primark_faulty\photo_5_2026-07-04_14-11-47.jpg,evaluation_results\all_case_reports\FN_PASS_Primark_5_report.png,0.906765,6,True,True
