metric,value
total_samples,51
faulty_samples,33
clean_samples,18
TP,29
TN,13
FP,5
FN,4
precision,0.8529411764705882
recall,0.8787878787878788
specificity,0.7222222222222222
npv,0.7647058823529411
false_positive_rate,0.2777777777777778
false_negative_rate,0.12121212121212122
tp_gate1,0
tp_gate2,29
fp_gate1,0
fp_gate2,5
tn_pass,13
fn_pass,4
